"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","5","4N34 (11/02/2019 - 29/06/2019)","74","9.8","1.86"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","6","4N12 (11/02/2019 - 29/06/2019)","83","9.71","1.7"
"ADA LIMA FERREIRA DE SOUSA","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","3","2T56 (11/02/2019 - 29/06/2019)","88","9.55","1.76"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01A","35M34 2T12 (11/02/2019 - 31/03/2019), 35M34 (01/04/2019 - 15/06/2019)","15","9.13","1.9"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01C","3M3456 5M34 (11/02/2019 - 31/03/2019), 35M34 (01/04/2019 - 15/06/2019)","13","9.48","1.61"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03A","2T56 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","18","9.54","2.03"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03B","4T56 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","16","9.19","1.98"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03C","7M34 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","11","8.99","2.45"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03D","7M56 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","18","9.46","1.86"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","7","35T56 (11/02/2019 - 29/06/2019)","111","9.42","1.84"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01A","24T56 (11/02/2019 - 10/03/2019), 2T1256 4T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","10","9.85","1.53"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01B","24T56 (11/02/2019 - 10/03/2019), 2T3456 4T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","17","9.59","1.91"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01C","24T56 (11/02/2019 - 10/03/2019), 5M34 24T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","13","9.95","1.55"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01D","24T56 (11/02/2019 - 10/03/2019), 5M56 24T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","15","9.41","1.76"
"ANDRE BESSA MOREIRA","ECT2307 - FÍSICA EXPERIMENTAL I","06A","5T123 (25/02/2019 - 01/06/2019)","24","9.64","1.64"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","01A","2M345 (25/02/2019 - 01/06/2019)","32","9.68","2.17"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","05A","6M234 (25/02/2019 - 01/06/2019)","32","9.82","1.32"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","08A","5T456 (25/02/2019 - 01/06/2019)","6","9.57","1.24"
"ANGELA LUZIA MIRANDA","ECT2502 - DIMENSÕES FILOSÓFICAS DA TECNOLOGIA MODERNA","1","2M3456 (11/02/2019 - 29/06/2019)","16","9.68","1.46"
"ANGELA LUZIA MIRANDA","ECT1558 - ÉTICA EM CIÊNCIA E TECNOLOGIA","1","5T3456 (11/02/2019 - 29/06/2019)","17","9.69","1.28"
"ANTÔNIO PAULINO DE ARAÚJO NETO","ECT2413 - MECÂNICA DOS FLUIDOS","3","35N34 (11/02/2019 - 29/06/2019)","74","9.65","1.53"
"ANTÔNIO PAULINO DE ARAÚJO NETO","ECT2412 - MECÂNICA DOS SÓLIDOS","2","46T12 (11/02/2019 - 29/06/2019)","85","9.73","1.65"
